"date","num"
5,4072
6,138739
7,541542
8,498142
9,219182
10,154874
11,144914
12,153566
13,172280
14,165393
15,163712
16,197244
17,321892
18,471604
19,279639
20,195658
21,158433
22,84632
23,18430

