,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,1.14E-13,4.69E-12,1.03E-11,2.53E-13,1.67E-12,3.40E-08,2.33E-07,3.01E-07,1.76E-06,5.09E-06,8.73E-06,4.80E-05,4.52E-08,0.000107748,0.000237045,0.000326098,0.000949053,0.005795757,0.00503465,0.024911665,0.005226297,0.00392553,0.011247901,0.061794717,0.061184331,0.20702145,0.063291742,0.018689932,0.29693195,6.92E-05,7.37E-05,0.076894691,0.256138344,0.049779971,0.117234203,0.214865632,0.287426948,0.116509883,0.042274707,0.034876633,0.018723537,2.18E-05,0.005653416,0.004240062,0.003109379,0.002230641,4.63E-06,3.19E-06,0.002171202,0.000955801,9.16E-07,5.81E-07,3.62E-07,2.21E-07,1.33E-07,7.82E-08,4.53E-08,2.58E-08,1.44E-08,7.93E-09,2
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,3.30E-13,1.61E-14,1.77E-13,5.41E-09,5.20E-08,8.93E-08,6.74E-07,2.43E-06,5.10E-06,3.36E-05,3.74E-08,0.000104105,0.000264266,0.00041548,0.001370408,0.009415037,0.009140835,0.050254716,0.011652896,0.009627882,0.030214294,0.181084337,0.194886577,0.714363348,0.235871042,0.075010138,1.279980697,0.000319675,0.000363769,0.404947284,1.435915809,0.296509054,0.740613725,1.437235585,2.032460761,0.869638076,0.332597723,0.288834865,0.163012988,0.000199238,0.054202481,0.042587664,0.032683556,0.024512667,5.32E-05,3.82E-05,0.027109905,0.012431512,1.24E-05,8.19E-06,5.30E-06,3.36E-06,2.09E-06,1.28E-06,7.67E-07,4.52E-07,2.62E-07,1.49E-07,11
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,9.61E-16,5.88E-11,9.41E-10,2.43E-09,2.56E-08,1.23E-07,3.32E-07,2.74E-06,3.73E-09,1.24E-05,3.73E-05,6.85E-05,0.000260597,0.002046135,0.002251416,0.013925129,0.003608784,0.003312953,0.011491129,0.075757186,0.08929629,0.357074808,0.12815243,0.044150365,0.813657256,0.000218843,0.000267474,0.319020589,1.209241087,0.266348712,0.708201177,1.460231753,2.190131041,0.992224762,0.401166322,0.367735795,0.218761746,0.000281448,0.080494088,0.066407623,0.053450038,0.041996458,9.54E-05,7.15E-05,0.053074346,0.025395924,2.64E-05,1.82E-05,1.22E-05,8.07E-06,5.22E-06,3.31E-06,2.06E-06,1.26E-06,7.57E-07,4.46E-07,10
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,3.41E-12,9.01E-11,8.67E-10,4.09E-09,5.39E-08,1.10E-10,5.25E-07,2.16E-06,5.29E-06,2.62E-05,0.000261778,0.000360051,0.002740844,0.000862516,0.000950173,0.003913665,0.03035469,0.041742857,0.19327561,0.079770539,0.031408119,0.657758482,0.000199987,0.000274983,0.367332814,1.553025395,0.380078894,1.118879867,2.545661085,4.199925449,2.086886191,0.922850255,0.922850255,0.597433429,0.00083451,0.258559073,0.230606741,0.200263748,0.169453941,0.000413608,0.000332904,0.264706233,0.135498008,0.000150553,0.000110406,7.92E-05,5.56E-05,3.82E-05,2.57E-05,1.70E-05,1.10E-05,6.98E-06,4.35E-06,17
11,0,0,0,0,0,0,0,0,0,0,0,0,6.04E-12,8.72E-11,5.48E-10,9.05E-09,2.21E-11,1.23E-07,5.81E-07,1.60E-06,8.79E-06,9.66E-05,0.000144913,0.001195056,0.000405,0.000478029,0.002100217,0.017307534,0.025200848,0.123166082,0.053509759,0.022121863,0.48534394,0.000154273,0.000221349,0.308006731,1.354292205,0.344189796,1.050756207,2.476047974,4.225939836,2.169806134,0.990470826,1.02142304,0.68128513,0.000979626,0.312192709,0.28617665,0.255238634,0.221654603,0.000554893,0.000457787,0.372884156,0.195416775,0.000222179,0.000166634,0.000122199,8.77E-05,6.16E-05,4.23E-05,2.85E-05,1.88E-05,1.22E-05,7.72E-06,17
12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75E-12,1.65E-11,3.63E-10,1.11E-12,7.41E-09,4.08E-08,1.28E-07,7.93E-07,9.68E-06,1.60E-05,0.000143763,5.28E-05,6.71E-05,0.000315816,0.002776094,0.004294801,0.022225045,0.010192145,0.004435379,0.10217577,3.40E-05,5.10E-05,0.074105504,0.33941529,0.089711962,0.284409922,0.695018078,1.228571178,0.652561132,0.307809768,0.327668462,0.225383368,0.000333901,0.109539263,0.103279877,0.09467322,0.084438278,0.000216947,0.00018357,0.153262817,0.082279216,9.58E-05,7.35E-05,5.51E-05,4.04E-05,2.90E-05,2.04E-05,1.40E-05,9.43E-06,6.22E-06,4.03E-06,5
