61,2523
50,1147
33,958
1,732
10,690
62,594
40,567
39,529
57,504
9,500
60,483
21,474
6,461
17,455
24,446
64,400
14,373
13,368
5,364
41,350
31,348
32,333
59,314
12,311
55,308
4,301
7,289
42,268
65,262
48,261
25,259
22,255
56,249
29,240
3,239
53,236
44,231
52,226
69,215
58,205
26,205
15,194
34,176
38,172
63,163
30,150
47,145
67,137
27,123
68,118
23,118
43,100
54,94
37,84
16,60
19,50
51,49
18,30
36,16
49,8
28,5
11,4
20,2
66,1
46,1
35,1
0,1
